ID, Type, Structure, Title, Mode, Incipit
2195, Air, , If Ever You Were Mine, , 
1904, Reel, AABBCC, Morning Thrush, D Major, |~f2ef d2AF|dAAF A2fe|
1350, Reel, AB, Mountain Road, D Major, |F2AF BFAF|FFAF EFDE|
1440, Reel, AB, O'Connell's Trip To Parliament, D Major, |dcAF G2FG|Adde fded|
1455, Reel, AABB, Old Concertina Reel, D Major, |A2FA BAFA|AAFA BAFA|
5574, Reel, AABB, Penny Candle, D Major, |Ad~d2 adfd|Adfa g2ec|
1619, Reel, AABB, Providence Reel, D Major, |(3FEDEC DEFA|~d2fd gdfd|
1686, Reel, AABB, Roaring Mary, D Major, |DF~F2 AF~F2|df~f2 g2fe|
1715, Reel, AB, Sailor on the Rock, D Major, |dfed BAFB|ADED FAAB|
1716, Reel, ABB, Sailor's Bonnet, D Major, |A2FA df~f2|dfef dB~B2|
1729, Reel, AABB, Scholar, D Major, |dfaf gfeg|fdAG FGA=c|
3978, Reel, AABB, Sheila Coyle's, D Major, |FAAA FADA|FAdA BdAF|
1770, Reel, AABB, Silver Spear, D Major, |FAAF BAFA|dfed BddA|
1774, Reel, AABB, Skylark, D Major, |agfg e2dB|AF~F2 DFFA|
3221, Reel, AABB, Slate Roof, D Major, |D2FF GEFE|DDFA dfef|
1778, Reel, AABB, Sliabh Bloom Reel, D Major, |~d3B AF~F2|GEFD EDB;D|
1803, Reel, AABB, Speed the Plough, D Major, |~d3A BAFB|AF~F2 EDDE|
1819, Reel, AABB, St. Anne's, D Major, |ffdf efdB|A2FA D/F/AFA|
989, Reel, AABB, Street Player, D Major, |DFAd ffec|dcde fdAF|
1849, Reel, AB, Sunny Banks, D Major, |AFFF d2cA|B/c/dAF GFGB|
2495, Reel, AABB, Tinker's Daughter, D Major, |A2FA dF(3ABd|~f3d eFdB|
1955, Reel, AABB, Torn Jacket, D Major, |F3A d2ed|cA~A2 B/c/dec|
1969, Reel, AABCBC, Trip to Durrow, D Major, |D2ED ADFA|defd ~B3c|
2022, Reel, AABB, Virginia, D Major, |DBBA ~B3B|BAdB AFEF|
2065, Reel, AABB, Whistling Postman, D Major, |fd~d2 edef|dBAF EDEF|
446, Reel, AB, Wild Irishman, D Major, |~F3E DE[FA]F|EA;~A;2 EA;~A;2|
2077, Reel, AB, Wind that Shakes the Barley, D Major, |~A3B AFEF|DBBA BcdB|
2079, Reel, AABB, Wise Maid, D Major, |F3F FEDE|FAAB AFED|
114, Reel, AABB, Bank of Ireland, D Mixolydian, |cAAB cAAG|EGDG EGD2|
248, Reel, AABBCC, Bunker Hill, D Mixolydian, |GE~E2 D2DD|(3EFGAB c2BG|
359, Reel, AABB, Collier's Reel, D Mixolydian, |FD(3EFG ~A3B|c/B/AdB cAAG|
411, Reel, AABB, Crib of Perches, D Mixolydian, |A3B AGFD|E/F/GAB BccA|
2521, Reel, AABB, Dinny O'Brien's, D Mixolydian, |fd~d2 dcAB|c2dB cAGE|
642, Reel, AABB, Floating Crowbar, D Mixolydian, |AD{F}ED AD{F}ED|AD{F}ED A2GF|
750, Reel, AABBCC, Gooseberry Bush, D Mixolydian, |ADFD EFGE|AGAB c2AG|
2844, Reel, AABB, Holly Bush, D Mixolydian, |A2FA DAFG|ABde fded|
3159, Reel, AB, Humours of Carrigaholt, D Mixolydian, |dcAF G2AG|FDdz FGAB|
924, Reel, AABB, Jenny Picking Cockles, D Mixolydian, |Ad~d2 AGE=F|GEcE dEcE|
3080, Reel, ABC, Long Note, D Mixolydian, |D2~A2 AGE=F|GE~E2 cEdz|
1391, Reel, AABB, My Love Is in America, D Mixolydian, |FEFG AB^cA|Addc AddG|
1454, Reel, AABB, Old Bush, D Mixolydian, |AAGA cAAG|Adde f2ed|
1640, Reel, AABB, Rakish Paddy, D Mixolydian, |c2cB cBAB|cBcE EFGB|
168, Reel, AABB, Rogha an Ghabha, D Mixolydian, |ABGE FEDF|G2EC FGEG|
1697, Reel, AB, Rolling in the Ryegrass, D Mixolydian, |A3F DFAF|G2BG dGBG|
1807, Reel, ABCD, Spike Island Lassies, D Mixolydian, |cAGB ADDE|EDAD E/F/GAd|
1958, Reel, AB, Toss the Feathers, D Mixolydian, |D2AD (3FEDAD|D2AG EGGE|
1960, Reel, AABB, Toss the Feathers, D Mixolydian, |D2~D2 AD~D2|ABcA GECE|
89, Reel, AABB, Ash Plant, E Dorian, |BE~E2 BAGA|BE~E2 GFGA|
391, Reel, AABB, Cooley's, E Dorian, |EBBA ~B2EB|~B2AB dBAG|
436, Reel, AABBCC, Cup of Tea, E Dorian, |BAGF GEEE|GEBE GEEA|
545, Reel, AB, Drowsy Maggie, E Dorian, |E2BE dEBE|EEBE AFDF|
549, Reel, AABB, Drunken Landlady, E Dorian, |BE~E2 BAFA|BE~E2 BAFB|
560, Reel, AABB, Dunmore Lasses, E Dorian, |~E3F ~G3A|Be~e2 Beez|
622, Reel, AABB, Fermoy Lasses, E Dorian, |GE~E2 cE~E2|GE~E2 B=cBA|
745, Reel, AABB, Golden Keyboard, E Dorian, |BGEF GFGA|B2gB fBed|
776, Reel, AABB, Kerry Reel, E Dorian, |BE~E2 BAFA|ABde fded|
1031, Reel, AABB, Killarney Boys of Pleasure, E Dorian, |FEDF E2FA|BFAF DEFA|
1208, Reel, AB, Man of the House, E Dorian, |E2BE GABG|EEBG AFDB|
1240, Reel, AABBCC, Mayor Harrison's Fedora, E Dorian, |GBEG B2AF|GFGA (3BcBAG|
3686, Reel, AABB, Palmer's Gate, E Dorian, |BEEF GABG|AdBA GEED|
1581, Reel, AABB, Pigeon on the Gate, E Dorian, |BE~E2 BdcA|BA^GA BAFE|
1588, Reel, AABB, Piper's Despair, E Dorian, |EFGA BAFA|(3BcdAd BdAF|
1766, Reel, AABB, Ships Are Sailing, E Dorian, |Beed BcdB|A2FD ADFD|
1878, Reel, AABB, Tarbolton, E Dorian, |EA[eA]B [Be]B[Be]A|GBAF GFEF|
1888, Reel, AB, Templehouse, E Dorian, |E2GE BEGE|D2(3FED AD(3FED|
1957, Reel, AB, Toss the Feathers, E Dorian, |EBBB dBBB|EB~BA FDFA|
1172, Reel, AABB, MacArthur Road, E Major, |BG~G2 Bcef|ggge fece|
807, Reel, AB, Hare's Paw, E Minor, |~G3A BE~E2|dBAd BGEF|
4164, Reel, AABB, Baltimore Salute, G Major, |BBeB dBAB|BBGB AGEG|
125, Reel, AABB, Banshee, G Major, |~G3D EDBE|~G3B ~d2Bd|
5071, Reel, AABB, Bantry Lasses, G Major, |d2Bd GdBd|BcBc ABcA|
2162, Reel, AABB, Ben Hill Reel, G Major, |~d3B cBAB|G2~BG DGBG|
156, Reel, AABB, Bird in the Bush, G Major, |d2e/d/B dB~B2|cAAB G2AG|
161, Reel, AB, Blackberry Blossom, G Major, |dBAd BGGB|dBBA B2ge|
187, Reel, AB, Boil the Breakfast Early, G Major, |G2BG AD~D2|GBBG c2BA|
206, Reel, ABC, Boys of Ballisodare, G Major, |dG~G2 dGeG|dG~G2 BAAB|
308, Reel, AB, Chattering Magpie, G Major, |BGAF DGGA|BBge fdcA|
321, Reel, AABBCC, Christmas Eve, G Major, |D3E G3A|B2eB ABG2|
1263, Reel, AABB, Colonel Rogers, G Major, |GzdB cAFD|GABc dBcA|
364, Reel, AB, Come West along the Road, G Major, |d2BG dGBA|GABd efge|
382, Reel, AABB, Connor Dunn's, G Major, |ABAG dGGD|BdAG ~A3G|
394, Reel, AABB, Copperplate, G Major, |G2dB ~G2dB|~G2dc BGGB|
406, Reel, ABC, Craig's Pipes, G Major, |B2BA BAGA|BBGB AGED|
2874, Reel, AABB, Darby's Farewell to London, G Major, |BGEF DEGA|AGdG eFdG|
2714, Reel, AABB, Doonagore, G Major, |DG~G2 FGAc|BG~G2 ABBA|
557, Reel, AABB, Duke of Leinster, G Major, |~G3B dB~B2|dBeB dBAB|
597, Reel, AABB, Fairy Reel, G Major, |BcBA GBdB|cBAG FGAc|
2670, Reel, AB, Farewell to Old Decency, G Major, |d2BG AGEG|DGBG A2AB|
617, Reel, AABB, Father Kelly's, G Major, |BBGB AGEG|DGGF GABd|
2894, Reel, AABB, Father Kelly's, G Major, |GEDE G2GA|Bdgd BGG^G|
643, Reel, ABC, Flogging Reel, G Major, |BGGG B/A/Gdc|BGGG B/c/dgd|
669, Reel, ABCDE, Foxhunter's Reel, G Major, |dGBG dGBG|dGBG AGEG|
696, Reel, AB, Galway Rambler, G Major, |G2dG eGdG|G2{e}dB AGEG|
712, Reel, AABB, George White's Favourite, G Major, |eB~B2 eBdB|AGAB GED2|
730, Reel, AABB, Glen Allen, G Major, |G2DG EGDE|G2BG AGEG|
775, Reel, AABB', Green Fields of America, G Major, |c2ec BddB|(3ABcBG AE~E2|
1746, Reel, AB, Happy Days of Youth, G Major, |efed BcBA|GABG AEEE|
846, Reel, AABB, Honeymoon, G Major, |BG~G2 DG~G2|Bdea gedc|
874, Reel, AABB, Hunter's House, G Major, |Bd~d2 cAFA|G2BG dGBG|
888, Reel, AABB, I'm Waiting for You, G Major, |G2dG BGdG|AGFG ABcA|
5496, Reel, AABB, John Dwyer's, G Major, |dB~B2 GEDE|GB~B2 dBGB|
415, Reel, AABBCC, Johnny Cronin's Reel, G Major, |G2FG EGDE|~G3A BcdB|
1033, Reel, AB, Killavil Fancy, G Major, |DGBG A^cBA|GEE2 ^cEGE|
1050, Reel, ABCD, Kiss the Maid behind the Barrel, G Major, |DG~G2 AG~G2|DG~G2 cAFA|
1054, Reel, AB, Kitty Gone a Milking, G Major, |dG~G2 d2cA|dG~G2 FGAB/c/|
558, Reel, AB, Ladies' Pantalettes, G Major, |(3BcdcA GFG2|A=FFE FGAc|
1129, Reel, AB, Limestone Rock, G Major, |B2~G2 A2~G2|DG~G2 A2dc|
1147, Reel, AABB, London Lasses, G Major, |G2BG dGBd|ea~a2 egdB|
3013, Reel, AABB, Long Drop, G Major, |gedg eBBA|GE~E2 EDB;D|
1149, Reel, AABB, Longford Collector, G Major, |G3A Bdd2|eB~B2 eBdB|
3603, Reel, AB, Malbay Shuffle, G Major, |d3G AG~G2|EG~G2 AG~G2|
3066, Reel, AABB, Martin Wynne's No. 3, G Major, |dged BBAc|BGdG EAAA|
1237, Reel, AB, Maud Miller, G Major, |edBA (3GFEDF|GzBG dG(3Bcd|
1289, Reel, AABB, Micho Russell's, G Major, |~B3G ~A3G|FDAD BDAF|
3012, Reel, AB, Milkmaid, G Major, |G2BG cABG|AD{F}ED FGAF|
1293, Reel, AABB, Milliner's Daughter, G Major, |~G2BG DGBG|(3ABAeg fdcA|
1310, Reel, AABB, Miss McLeod, G Major, |G2BG DGBG|B2BA BcBA|
1318, Reel, AABB, Miss Thornton's, G Major, |G2Bd gdBd|cBAB cedc|
1342, Reel, AB, Morning Star, G Major, |BBA^c/d/ BEEF|GG(3B^cd gfed|
1346, Reel, AABBCC, Mossy Banks, G Major, |gedB G2GA|BAGB AE~E2|
1352, Reel, AB, Mountain Top, G Major, |BGAG EGDG|~G2Bd e2gd|
1383, Reel, AABB, Music in the Glen, G Major, |G2BG EGDd|BDGB AGAB|
1394, Reel, AB, Navvy on the Line, G Major, |B2ge dBGB|A2AB AGEF|
1492, Reel, AABBCC, Over the Moor to Maggie, G Major, |~G3A BABd|ezgg dBAG|
6010, Reel, AB, Paddy Cronin's Beauty, G Major, |dGBG ABcA|dGBG ccBc|
1517, Reel, AABB, Patrick's Night, G Major, |BG~G2 AGED|~G2(3Bcd ezfe|
1565, Reel, AABB, Peeler's Jacket, G Major, |GGBG DGBG|FGAB c2Bc|
1601, Reel, AABB, Plough and the Stars, G Major, |GEDE GABd|g3^g aged|
1649, Reel, AB, Ravelled Hank of Yarn, G Major, |B3G A3B|G~B3 G~B3|
2245, Reel, AB, Red-Haired Lass, G Major, |DG~G2 GABG|G2BG AGEG|
1720, Reel, AABB, Sally Gardens, G Major, |G2DG BdGB|dBeB dBAB|
1747, Reel, AABB, Seán Reid's, G Major, |DGGG BGGG|d/c/AFA dGGF|
1758, Reel, AABB', Shaskeen, G Major, |DG~G2 F2B^c|d2ed ^cAA=c|
1762, Reel, AABB, Sheehan's, G Major, |GABG DGBG|FGAB cdeA|
1833, Reel, AB, Steampacket, G Major, |BG~G2 AGGD|DG~G2 A2dc|
1868, Reel, AABB, Swinging on a Gate, G Major, |gedB G2AB|czBG AGEF|
1883, Reel, AABB, Teetotaller, G Major, |G2GF GABc|dBgf ecDD|
1926, Reel, AABB, Tom Ward's Downfall, G Major, |BGGF GEDG|EDEG AAGE|
1961, Reel, AABB, Touch Me If You Dare, G Major, |BGGB Agfd|BGGG GBdc|
1964, Reel, AABB, Traveller, G Major, |G2BG dGBG|ABcd dcBA|
1566, Reel, AABB, Trip to Birmingham, G Major, |DGGG GzBd|eged edBA|
2082, Reel, AABB, Woman of the House, G Major, |[D4B4] ~B2BA|GABd eBdB|
1341, Reel, AABB, Morning Mist, G Mixolydian, |d2BG dG~G2|dGBG DGBd|
164, SetD, , Blackbird, G Major, |BGBd cABG|~A3G ABcA|
547, SetD, AABABA, Drunken Gauger, G Major, |GAB cBA|BAG AGE|
1821, SetD, , St. Patrick's Day, G Major, |GAG GBd|gfe dBG|
2092, SetD, AB, Youghal Harbour, G Major, |gfed B2AB|dBAB GEDE|
787, SgJig, AB, Hag at the Churn, D Mixolydian, |A2G ADD|A2G Adc|
713, SgReel, AABB, Ger the Rigger, A Major, |e2A2 e2A2|efed c2A2|
1451, Slide, AABB, O'Keeffe's Slide, A Dorian, |A2e e2d BAB d2B|A2e e2d B2G GFG|
1973, Slide, AABB, Brosna Slide, A Major, |E2A A2B cBc e2c|B2E GFE B2E GFE|
66, Slide, AABB, An Chóisir, B Minor, |F2B BAB d2e f3|e3 efe c2e a[DF]F|
432, Slide, AABB, Cúil Aodha, D Major, |Bcd Bcd c2B A2d|Bcd e2f g3 gfg|
488, Slide, AABB, Denis Murphy's, D Major, |A2D {F}E2D F2A A2f|fg2 ~f3 e2d B2d|
740, Slide, AABB, Going to the Well for Water, D Major, |A2f A2f A2f fed|B2g B2g B2g gfe|
5594, Slide, AABB, Neilí, D Major, |f2e f2g e2d cBA|f2e f2g e2c d3|
806, Slide, AABB, Rathawaun, D Major, |EF2 AFA Bdd ABA|DFE EDE F2D D2E|
1684, Slide, AABB, Road to Lisdoonvarna, E Dorian, |E2B B2A B2c d3|F2A ABA D2E FED|
2095, Slide, AABB, Danny Ab's Slide, G Major, |B2B cBc d2d dge|dBG dBG A2A AGA|
4520, Slide, AABBCC, Dingle Regatta, G Major, |d^cd e2d BBB d2B|AAA AGA B2A G2d|
2568, Slide, AABB, Hare in the Corn, G Major, |BBB A/B/AG BdB AGA|B2e d2B (3AB^cA AGA|
1027, Slide, AABB, Kilfenora Jig, G Major, |B2B BAB dBA G3|ded ded ded B2A|
1271, Slide, AABBCC, Merrily Kissed the Quaker, G Major, |GAB D2B ccA BGE|GAB DEG AAA AGE|
1829, Slide, AABB, Star above the Garter, G Major, |d2B BAG A2A A/B/^cA|G2E BcB BAG ABc|
1694, Song, , Roísín Dubh, G Major, 
6830, Waltz, AABB, Linnet's Chorus, Bb Major, |B;3 A FG|F3 B dc|
141, Waltz, AABB, Belltable, D Major, |d2 de d2|d2 c2 B2|
5927, Waltz, AABB, Diamond, D Major, |F2 d3 F|G3 A AG|
2933, Waltz, AABBCC, Mrs. Kenny's, D Major, |f2-f>e dc|d4 FG|
4836, Waltz, AABB, Beautiful Goldfinch, Eb Major, |B3 G GF|Gz GF GE|
1927, Waltz, AABB, Tommy Bhetty's Waltz, G Major, |G3 B dB|G3 B dB|
