ID, NotePrivate, NotePublic, Tags
359, Practice Rafferty version as well as standard.  2017-05-08 Remembered pretty well; played with https://www.youtube.com/watch?v=Dj5faymNcCU  Recorded.  Really had to work on CAdBCAG sequence!, Laurence Nugent - The Colliers/Toss The Feathers, hp
411, , , 
2521, , , group4; hp; wnceili
642, Jimmy Noonan, , group3
750, , , NYEve2016; wnceili
2844, , , hp; wnceili
3159, Easy to tangle with O'Connell's Trip To Parliament!  Humours of Carrigaholt goes down after the long G; the other goes up., https://www.youtube.com/watch?v=5CldBDCh3mk, NYEve2016; wnceili
924, Work on ECEdECE phrase.  Alternate with ECEd~CE.  Practice relaxed!!  Last: Quick run-through; Note start A dd c A., , hp; wnceili
3080, , See https://www.youtube.com/watch?v=4UTjsLyEgog&feature=youtu.be   Also on Foin Session 1., hp
1391, , , wnceili
1454, Try near Castle Kelly  Should I put this for a fresh learn round?  https://www.youtube.com/watch?v=I5zbEfrdkOA, https://www.youtube.com/watch?v=nsovExsPOyg, new; not_glued_yet
1640, 2017-06-02: Was playing with Maids of Mt. Cisco and got the B part mixed up.  Trick is 2nd phrase of B part; after high b break; goes age aaged.  Also; practice with slow version in https://www.youtube.com/watch?v=GIezfdOAIvk ; to mimic how he plays the c-nat bit at the start.  Vary as is pleasing., , wnceili
168, Blacksmith's Forge, , 
1697, , , wnceili
1807, , Holy smokes! https://www.youtube.com/watch?v=_1uQlOsv8s0, hp; wnceili
1958, And then there's the version with Colliers., For now; stick to Foin Session version!!! So many versions of this.  Practicing Larry Nugent's per https://www.youtube.com/watch?v=Dj5faymNcCU.  Then there's Connie's version which matches Foin Session.  And these are just in D., 
1960, Practiced D version Foin Session 1-10, , 
89, I think this is played as single reel in Boston., , 
391, , , 
436, , , 
545, , , 
549, Try breaking up the difficult phrase with the double-a., Good practice: https://www.youtube.com/watch?v=vV-R185jD5o, wnceili
560, , , wnceili
622, Interesting question about whether the e-rolls should be done with the g finger or the e finger., , hp; wnceili
745, , , 
776, , , wnceili
1031, Per Nathan  Practiced 86bpm... rusty, , hp; wnceili
1208, , , NYEve2016; wnceili
1240, , , wnceili
3686, , , 
1581, 2017-05-13: Worked on Kevin Burke style BEdE BE~ style jumps., Try https://www.youtube.com/watch?v=gCOPvQxPoJ4  Watch end of b part., 
1588, Should record this one.  The high b jumps may sound better to me than to the listener.  Recalled it ok; though glanced at the dots., The Piper's Despair / Peg McGrath's - Mike Rafferty. Speed 78, hp; wnceili
1766, , , 
1878, , , 
1888, Live at Mona's following hare and knockenbow  -- Starts with run from E to B then FAF D etc., , hp; wnceili
1957, , , pset_sept_30_2020
1172, Per Connie.  Good one to practice stomach pulse.  Do it without crans; then add back crans., We play it in D (Start A2FA A). But; several UTubes have it in E., hp; wnceili
807, 2017-05-31: Tried to get the E-roll in a part A to sound cleaner; and perfect to G in time., , wnceili
4164, Remember slide to d in first phrase  (actually first learned 2017-01-05) ... nice on whistle: https://www.youtube.com/watch?v=mI5ih_eg_rA, Michael Roony & June McCormack - The Concert Reel / Salute to Baltimore  Tune down two half steps (and fine tune also), hp; wnceili
125, , , 
5071, , , 
2162, Comhaltas Ceili band; I think  2017-05-31: B part is dggfged then same phrase a step up; then the popping fdadb rest and af g-roll etc., , not_glued_yet
156, , , 
161, I'm still looking at the dots.   :-(  Try to bake in that triplet in measure 7 of A part.  2017-05-28: Seemed to be doing pretty well on that triplet.  (actually first learned 2017-07-24 20:07:15), O'Aces - The Blackberry Blossom/The Ravelled Hank Of Yarn/The Dark Haired Lass!!!, 
187, , , 
206, Played at bunratty  https://www.youtube.com/watch?v=UGoyMT4I3Lw with the Honeymoo.  Actual first learned: 2017-08-12, , 
308, 2017-06-09: Note different ending on 2nd n B!!! See https://thesession.org/tunes/1045 setting 2., The Chattering Magpie/The Flax In Bloom - Mike and Mary Rafferty. The Dangerous Reel, hp; wnceili
321, WOW!  I completely tangled the C part!, , wnceili
1263, John McKenna's #1, , 
364, , , 
382, 2017-05-31: Keep trying to get clean with the 90bpm bodhran beat.  Relaxed!, , hp; wnceili
394, , , 
406, Pretty rusty., , 
2874, Hard part is the B part. Keep in mind the octive jump down in the last part.  Otherwise it's mostly scales!, Jimmy Noonan: Billy Brocker/Darby's Farwell., 
2714, Josie McDermot's, , 
557, , , wnceili
597, , , 
2670, For Sake of Old Dacency, , 
617, , , 
2894, Eamon plays this in front of Ormand Sound -- Calls it Biddy Ryans?, , learn
643, , Jim: Flogging Reel – Monahan Twig – Dinny O’Brien’s  || with Lucy Campbell's;   https://www.youtube.com/watch?v=nokZ08dh06c slowed down a bit, 
669, , , wnceili
696, , , wnceili
712, 2017-06-07: Practiced with https://www.youtube.com/watch?v=3QQtLNg-mN8 (actually spent more time on the Knotted Chord).  Note extracted audio., , wnceili
730, 2017-06-10: Struggled with 3 and 4th into 5th measures in A part:   GDGEGDEG *AEAFAEA ABACdedCBA* GDGEGDEG etc., Kilmaley on Foinn Session  Kind of nice: https://www.youtube.com/watch?v=I9Q2LWUq53k, 
775, Working on the crispness of the B roll.  Note that it really begins on a C-nat roll., At least this youtube plays the two B parts correctly: https://www.youtube.com/watch?v=2SpIAYzvEy8, group4
1746, Per james (under title John McKenna's)  2017-06-03: A bit different from Jame's version: https://www.youtube.com/watch?v=p5ZJouI_SOs, , group3
846, https://www.youtube.com/watch?v=UGoyMT4I3Lw led with Boys of Ballisodare, , 
874, , , wnceili
888, , , wnceili
5496, Per Jimmy Noonan, , 
415, After Major Harrison's Fedora, Perfect: https://www.youtube.com/watch?v=m-w3D08xfgY, wnceili
1033, Per Paul McGratten, , wnceili
1050, , , connieceili; hp; wnceili
1054, , , wnceili
558, Start Bd c-nat AG~, , not_glued_yet
1129, 2017-05-14: Couldn't quite do a good recording of this.  Worked on triplets; then without triplets.  Had a hard time holding good tone in the B part.    2017-07-07: Seemed pretty good; actually, , 
1147, , , 
3013, See Catskills ABC from Catherine M.?, , hp; wnceili
1149, , , 
3603, Make sure you have end of B part down!, , 
3066, , , hp; wnceili
1237, End of B is: b[g]afgfed B eede  2017-05-07: I remembered the B part pretty well.  Feels like I need to get some breaks in there to the runs and rolls.  Maybe some melodic variation., , pset_oct4_2020
1289, , The Piper's Despair / Peg McGrath's Speed 78. Mike Rafferty, 
3012, 2017-05-14: Didn't remember B part.  B part is sort of Galeway Rambler B part; but; gdgegde gg bg fgaf gdgegd cbacb gg., Tommy Peoples' -- Kevin Crawford - Tommy Peoples' - The Long Drop - Callaghan's, hp
1293, https://www.youtube.com/watch?v=I5zbEfrdkOA   hmm... said I learned on 2017-08-24, , hp
1310, , , 
1318, Per Live at Mona's., , 
1342, , , 
1346, https://www.youtube.com/watch?v=JRPDDbUWKZY, , 
1352, Do not cran until absolutely clean and relaxed!  B->A turn; can end on g; pickup on d., , pset_oct4_2020
1383, Needs work *still*  Orig learn date: 2014-11-24, Working on Chris/Robin setting, group3; hp; wnceili
1394, John Wynne/Catskills 2008/Navvy on the LIne.mp3, , 
1492, 2017-05-27: Note really strange C setting at https://www.youtube.com/watch?v=G2DcLmsHThk, , 
6010, Try hard to remember this.  Starts B EE; does that strange B roll strangeness.  Orig learn date: 2017-07-15, Stand In for Paddy Cronin's Own; taught by Larry Nugent; catskills; 2017, 
1517, , , hp; wnceili
1565, 2017-05-08: Recorded.  Mostly did ok.  Needs some  melodic variation.  Do something with those GBGDG things besides rolls., , wnceili
1601, 2017-05-12: Double., , group3; hp; wnceili
1649, Per Jimmy Noonan  2017-05-26: https://www.youtube.com/watch?v=ePKLJI1kPec, , 
2245, , , wnceili
1720, , , 
1747, , , pset_sept_30_2020
1758, 2017-06-01: starts D G-roll A.  Step-wise at end of A parts; but not B parts. B: dggfg fgabagf.  Different end on 2nd B part; B g-roll A F-roll etc., , 
1762, 2017-06-05: Played with https://www.youtube.com/watch?v=2WUn5XkQD10 (good for fast practice!), Eamon Marshall plays Tune ID#1064 (Knotted Cord) with Sheehan's Reel (Tune ID#1762), 
1833, 2017-06-08: Pretty good version here: https://www.youtube.com/watch?v=i8VmsGLgR0U  Note B part:  dg~ ag~ dgg efdc a  Don't mix up with Kitty!, , wnceili
1868, , , wnceili
1883, , , not_glued_yet
1926, , , pset_oct7_2020
1961, , , wnceili
1964, , , hp; wnceili
1566, 2017-05-19: Played with https://www.youtube.com/watch?v=7fYnDsBugNY  2017-05-26: https://www.youtube.com/watch?v=Jc36Cr0GDFw, , hp; wnceili
2082, , , wnceili
1341, Per Connie with Highest Hill  Also; check out: https://www.youtube.com/results?search_query=Morning+Mist+reel, , NYEve2016; wnceili
164, The set dance, , wnceili
547, , https://www.youtube.com/watch?v=C337PlXbOGQ, wnceili
1821, Play it so it starts G-roll GAB deddBG A-roll B etc., , 
2092, See Lili recording in google drive.  No., Such a strange tune.  From now on; only practice Matt Cranitch/Jackie Daly version in A Major., learn; pset_oct4_2020
787, , , 
713, , Tryder Sisters & Friends - Marie's Wedding; Jer the Rigger's polka, hp; wnceili
1451, , , group3
1973, , , NYEve2016; wnceili
66, Toormore; per Paul McGratten, Second tune in https://www.youtube.com/watch?v=tCcwobVdEGY, 
432, Connie Walsh's, , NYEve2016; wnceili
488, , , 
740, , , 
5594, Practiced Danu 3 part version, , wnceili
806, , , not_glued_yet
1684, , , 
2095, , , new; not_glued_yet
4520, , Shrug, 
2568, Careful of the b to E transition!, , 
1027, The Old Favourite, , hp; wnceili
1271, Working with Mark Stone slide bodhran.  Keep baking in the first phrase.  In the B part; glottal the Gs., , wnceili
1829, , , NYEve2016; wnceili
1694, Still struggle with basic memorization.  Try using https://thesession.org/tunes/15042 to establish a visual patter.  Make up a story palace?  Note   "|: AF |"D" A2 D2 FA |" only occurs twice; once at start; once at the start of the long tail at the end., , 
6830, , , pset_oct7_2020
141, , , 
5927, , , wnceili
2933, , , 
4836, 2017-05-08: Remember starts on gedd BBAB, https://www.youtube.com/watch?v=g77R3oTDDho, 
1927, , , 
